,true_output1,true_output2,pred_output1,pred_output2
7840,100424.97,100376.62,101609.11073062735,101593.25798154983
7841,477014.05,477012.19,485093.7721111117,485078.81402222347
7842,434128.58,434134.38,424338.6673650791,424324.22552380926
7843,291826.16,291778.58,307448.0030952381,307425.7603296702
7844,64063.045,64002.378,69504.72317269086,69485.06758232943
7845,195350.5,195352.48,185616.72356725138,185603.2415984406
7846,58938.287,58878.985,69504.72317269086,69485.06758232943
7847,263161.86,263077.93,274669.525366379,274663.15323275834
7848,479971.18,479933.85,485093.7721111117,485078.81402222347
7849,87348.646,87369.82,101609.11073062735,101593.25798154983
7850,383794.5,383741.04,369165.9787337051,369158.3872067035
7851,495855.87,495890.04,485093.7721111117,485078.81402222347
7852,241703.04,241667.56,247739.99689223093,247728.81476190523
7853,388120.22,388124.07,397781.09172413754,397780.57758620655
7854,228225.59,228261.55,217929.90592885367,217921.5533399206
7855,129338.9,129350.95,130154.50997333344,130144.92600000014
7856,359779.37,359781.84,369165.9787337051,369158.3872067035
7857,61892.341,61898.521,69504.72317269086,69485.06758232943
7858,60087.563,60070.46,69504.72317269086,69485.06758232943
7859,498506.5,498523.83,485093.7721111117,485078.81402222347
7860,105946.58,105901.79,101609.11073062735,101593.25798154983
7861,411877.01,411877.66,424338.6673650791,424324.22552380926
7862,301857.31,301821.12,307448.0030952381,307425.7603296702
7863,242239.61,242224.9,247739.99689223093,247728.81476190523
7864,476277.01,476263.97,485093.7721111117,485078.81402222347
7865,101657.53,101673.96,101609.11073062735,101593.25798154983
7866,110079.95,110041.2,101609.11073062735,101593.25798154983
7867,370808.7,370852.96,369165.9787337051,369158.3872067035
7868,264512.61,264559.68,274669.525366379,274663.15323275834
7869,137329.5,137301.12,130154.50997333344,130144.92600000014
7870,305199.54,305189.7,307448.0030952381,307425.7603296702
7871,90350.753,90332.538,101609.11073062735,101593.25798154983
7872,79745.868,79698.309,69504.72317269086,69485.06758232943
7873,249625.2,249627.78,247739.99689223093,247728.81476190523
7874,360291.18,360292.36,369165.9787337051,369158.3872067035
7875,38026.708,37938.57,42709.52807038839,42681.28406310685
7876,394206.29,394164.75,397781.09172413754,397780.57758620655
7877,378937.15,378977.41,369165.9787337051,369158.3872067035
7878,335328.87,335361.43,339634.8082961464,339626.06835699774
7879,38858.603,38774.958,42709.52807038839,42681.28406310685
7880,488984.53,489043.86,485093.7721111117,485078.81402222347
7881,330845.13,330850.88,339634.8082961464,339626.06835699774
7882,103682.05,103639.96,101609.11073062735,101593.25798154983
7883,202080.34,202059.55,217929.90592885367,217921.5533399206
7884,291688.01,291643.78,307448.0030952381,307425.7603296702
7885,155361.06,155367.32,156847.65178260874,156836.5041304347
